Keep,Order,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,sample,details
No,,GO:0051972,regulation of telomerase activity,9,-0.687379797,-1.52694682,0.040071754,0.040071754,0.378251877,1034,"tags=56%, list=18%, signal=45%",YGR280C/YDL126C/YML061C/YBR170C/YLL034C,1736,Revigo compressed
No,,GO:0032956,regulation of actin cytoskeleton organization,62,-0.401901375,-1.403179615,0.040072353,0.040072353,0.378251877,1316,"tags=39%, list=23%, signal=30%",YFR028C/YNR031C/YGL003C/YPR154W/YER125W/YIL062C/YFR016C/YPL242C/YOL076W/YAR014C/YNL138W/YGR136W/YBL007C/YPR131C/YLR006C/YLR370C/YLR371W/YIL118W/YNL090W/YIL034C/YBR234C/YER133W/YNR035C/YOR122C,1736,Revigo compressed
No,,GO:0032970,regulation of actin filament-based process,62,-0.401901375,-1.403179615,0.040072353,0.040072353,0.378251877,1316,"tags=39%, list=23%, signal=30%",YFR028C/YNR031C/YGL003C/YPR154W/YER125W/YIL062C/YFR016C/YPL242C/YOL076W/YAR014C/YNL138W/YGR136W/YBL007C/YPR131C/YLR006C/YLR370C/YLR371W/YIL118W/YNL090W/YIL034C/YBR234C/YER133W/YNR035C/YOR122C,1736,Manually compressed, strain specific
No,,GO:0007031,peroxisome organization,51,-0.428198853,-1.443254619,0.04193552,0.04193552,0.394664133,347,"tags=14%, list=6%, signal=13%",YJL210W/YOL044W/YHR160C/YLR440C/YGL115W/YNL258C/YFR004W,1736,Manually compressed, strain specific
No,,GO:0010941,regulation of cell death,14,0.612087831,1.525244324,0.042177327,0.042177327,0.395765451,878,"tags=50%, list=16%, signal=42%",YER177W/YLR150W/YPL196W/YML120C/YDR099W/YGL253W/YMR145C,1736,Manually compressed, strain specific
No,,GO:0000478,endonucleolytic cleavage involved in rRNA processing,53,-0.410889028,-1.398358584,0.042824113,0.042824113,0.399470754,984,"tags=42%, list=18%, signal=35%",YPL217C/YCR047C/YJL069C/YGL246C/YOL010W/YBR247C/YBL004W/YPR137W/YLR129W/YDL148C/YLL035W/YFL009W/YOR310C/YER082C/YNR054C/YFR001W/YHR169W/YPR112C/YLR048W/YER127W/YDL153C/YJL010C,1736,Revigo compressed
No,,GO:0000479,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",53,-0.410889028,-1.398358584,0.042824113,0.042824113,0.399470754,984,"tags=42%, list=18%, signal=35%",YPL217C/YCR047C/YJL069C/YGL246C/YOL010W/YBR247C/YBL004W/YPR137W/YLR129W/YDL148C/YLL035W/YFL009W/YOR310C/YER082C/YNR054C/YFR001W/YHR169W/YPR112C/YLR048W/YER127W/YDL153C/YJL010C,1736,Revigo compressed
No,,GO:0001109,promoter clearance during DNA-templated transcription,3,-0.873550918,-1.452732932,0.043090961,0.043090961,0.399609315,713,"tags=100%, list=13%, signal=87%",YGR005C/YIL143C,1736,Revigo compressed
No,,GO:0001111,RNA polymerase II promoter clearance,3,-0.873550918,-1.452732932,0.043090961,0.043090961,0.399609315,713,"tags=100%, list=13%, signal=87%",YGR005C/YIL143C,1736,Revigo compressed
No,,GO:0006418,tRNA aminoacylation for protein translation,35,-0.472676827,-1.479268571,0.043420274,0.043420274,0.40148929,1482,"tags=51%, list=26%, signal=38%",YHR091C/YLR382C/YGL245W/YPR047W/YKL194C/YOL033W/YPL040C/YIL078W/YOL097C/YLL018C/YHR019C/YGR185C/YHR020W/YDR268W/YPL104W/YPR033C/YFL022C/YGR264C,1736,Revigo compressed
No,,GO:0032774,RNA biosynthetic process,631,-0.249087309,-1.162356464,0.043698259,0.043698259,0.401917334,1142,"tags=26%, list=20%, signal=24%",YER162C/YER125W/YDR073W/YOR341W/YHR099W/YBR239C/YGL190C/YFL044C/YHR196W/YER139C/YCL058C/YIL130W/YIL149C/YIR033W/YDR527W/YOR110W/YNL298W/YIR023W/YOR259C/YNL257C/YJL176C/YKL057C/YBR198C/YCR065W/YFL023W/YGR128C/YMR075W/YPR015C/YGR200C/YKL145W/YGL070C/YNL059C/YJL140W/YAR014C/YOL028C/YBL006C/YPR010C/YGL122C/YAL034C/YGL246C/YMR042W/YJR063W/YDR485C/YDR081C/YOR174W/YGR116W/YAL056W/YCR093W/YPL128C/YGR246C/YBR081C/YPL235W/YLR455W/YMR270C/YNR063W/YIL017C/YMR093W/YDR138W/YNL025C/YPR168W/YML061C/YFL033C/YPR023C/YDR207C/YNL222W/YJL006C/YPL031C/YIR008C/YAL040C/YDL150W/YPL101W/YGR186W/YML112W/YFR037C/YAR003W/YGR262C/YER130C/YKL062W/YBR123C/YDR301W/YEL055C/YFL049W/YHL009C/YIL033C/YPL042C/YLR266C/YPL126W/YIL021W/YIL046W/YOR119C/YFL036W/YCR097W/YKL110C/YPL075W/YLL035W/YJR042W/YML015C/YIL115C/YMR239C/YKR008W/YBR097W/YKL038W/YPR133C/YLR013W/YDR034C/YLR277C/YAL019W/YLR055C/YGR005C/YNR023W/YMR227C/YML094W/YIL126W/YOL072W/YMR043W/YAL043C/YHR084W/YCR042C/YIL143C/YPR034W/YMR277W/YCL010C/YAL001C/YLR375W/YNL151C/YJL025W/YER171W/YMR033W/YNL113W/YER164W/YHL025W/YHL007C/YFL024C/YLR010C/YJR102C/YOR340C/YBR143C/YPR056W/YDR173C/YER133W/YLL010C/YCR052W/YDL084W/YPL047W/YGL115W/YJL081C/YBR253W/YPR187W/YFL031W/YOL071W/YJL184W/YDL165W/YOR043W/YIL119C/YGL019W/YOR210W/YMR312W/YML069W/YOR194C/YIL154C/YDR448W/YML121W/YNL248C/YMR005W/YKL078W/YBL025W/YPL007C,1736,Revigo compressed
No,,GO:0000348,mRNA branch site recognition,3,-0.872837525,-1.451546544,0.043720015,0.043720015,0.401917334,717,"tags=100%, list=13%, signal=87%",YKL074C/YDR364C,1736,Revigo compressed
No,,GO:0000271,polysaccharide biosynthetic process,48,-0.419304401,-1.387920611,0.044817876,0.044817876,0.410819166,1649,"tags=50%, list=29%, signal=36%",YFR017C/YMR306W/YOL030W/YGL027C/YIL045W/YER129W/YER054C/YPL219W/YIL050W/YAL017W/YPR159W/YBR015C/YKL035W/YJL034W/YLR342W/YFR015C/YBR229C/YPL031C/YMR307W/YKL127W/YMR105C/YJL174W/YFR042W/YHR101C,1736,Revigo compressed
No,,GO:0034508,centromere complex assembly,15,-0.599762733,-1.545724252,0.045288769,0.045288769,0.413939213,737,"tags=60%, list=13%, signal=52%",YGR188C/YFR046C/YAL034W-A/YOR057W/YKL089W/YMR094W/YDL139C/YDR328C/YJL081C,1736,Revigo compressed
No,,GO:0061188,negative regulation of ribosomal DNA heterochromatin formation,8,0.69217291,1.510542647,0.046992481,0.046992481,0.428276908,762,"tags=62%, list=14%, signal=54%",YMR263W/YBR095C/YNL097C/YPL181W/YAL013W,1736,Revigo compressed
No,,GO:0009060,aerobic respiration,85,0.373600651,1.385605838,0.04764909,0.04764909,0.432455575,764,"tags=25%, list=14%, signal=22%",YMR256C/YJL166W/YDR529C/YDR298C/YDR148C/YEL024W/YHR051W/YDL067C/YOR136W/YLR164W/YKL093W/YNL052W/YJR048W/YGR183C/YIL125W/YOR065W/YKL141W/YOR355W/YMR081C/YML120C/YLR174W,1736,Revigo compressed
No,,GO:0006561,proline biosynthetic process,5,-0.77741139,-1.494415195,0.047922883,0.047922883,0.432455575,207,"tags=60%, list=4%, signal=58%",YHR033W/YOR323C/YER023W,1736,Revigo compressed
No,,GO:0031113,regulation of microtubule polymerization,12,-0.623447283,-1.513345852,0.047996397,0.047996397,0.432455575,371,"tags=42%, list=7%, signal=39%",YCL029C/YMR138W/YBR233W-A/YDR016C/YKL138C-A,1736,Revigo compressed
No,,GO:0005991,trehalose metabolic process,12,-0.623308589,-1.513009188,0.047996397,0.047996397,0.432455575,258,"tags=33%, list=5%, signal=32%",YKL035W/YBR126C/YKL127W/YMR105C,1736,Revigo compressed
No,,GO:0072330,monocarboxylic acid biosynthetic process,53,-0.406875777,-1.384700485,0.048985757,0.048985757,0.440119532,1138,"tags=34%, list=20%, signal=27%",YER125W/YNR057C/YOL052C/YPL231W/YCR034W/YBR159W/YHR067W/YLL027W/YOR391C/YKL192C/YBR026C/YPR067W/YJL097W/YER061C/YLR372W/YPL148C/YMR322C/YKL055C,1736,Revigo compressed
No,,GO:0006403,RNA localization,142,-0.322067087,-1.294532355,0.049407115,0.049407115,0.442226294,1279,"tags=41%, list=23%, signal=32%",YGR218W/YML031W/YGL100W/YGL238W/YGL247W/YMR125W/YBL079W/YCR073W-A/YDL145C/YGL066W/YOR160W/YER125W/YCL011C/YGL178W/YHR015W/YIL149C/YPR080W/YGL097W/YKL057C/YGR128C/YIL138C/YLR018C/YJL140W/YGL122C/YDL160C/YGR116W/YDR138W/YFR023W/YBR247C/YNR034W/YJL039C/YDL207W/YIR005W/YAR002W/YJR042W/YIL115C/YBR170C/YPR133C/YFR002W/YOL072W/YER107C/YKL130C/YIL143C/YBL051C/YNL079C/YMR255W/YOR198C/YFR001W/YDR293C/YOL040C/YDL084W/YDR238C/YPR112C/YJL061W/YJR123W/YOR293W/YLR048W/YER165W,1736,Manually compressed, strain specific
No,,GO:1901409,positive regulation of phosphorylation of RNA polymerase II C-terminal domain,4,0.820849659,1.471933794,0.049904031,0.049904031,0.442226294,791,"tags=75%, list=14%, signal=64%",YLR418C/YBR279W/YGL244W,1736,Revigo compressed
No,,GO:2001163,regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues,4,0.820849659,1.471933794,0.049904031,0.049904031,0.442226294,791,"tags=75%, list=14%, signal=64%",YLR418C/YBR279W/YGL244W,1736,Revigo compressed
No,,GO:2001165,positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues,4,0.820849659,1.471933794,0.049904031,0.049904031,0.442226294,791,"tags=75%, list=14%, signal=64%",YLR418C/YBR279W/YGL244W,1736,Revigo compressed
Yes,3,GO:0140053,mitochondrial gene expression,156,0.729354577,2.853352539,1.00E-10,1.00E-10,3.65E-08,705,"tags=54%, list=12%, signal=48%",YPL118W/YPR100W/YDR065W/YPL005W/YNR036C/YGL129C/YMR286W/YNL177C/YNR037C/YDR347W/YML129C/YOR150W/YLR204W/YKL170W/YPR166C/YPL183W-A/YPL013C/YDR237W/YDR296W/YHR147C/YNL081C/YNR045W/YHR091C/YDL045W-A/YGR102C/YDR337W/YNL185C/YPL097W/YDL069C/YPR134W/YJR113C/YKL138C/YLR139C/YGR220C/YJL063C/YJL023C/YGR150C/YOR187W/YNL284C/YOL033W/YDL033C/YMR188C/YGL068W/YLR091W/YBL038W/YKL003C/YJL062W-A/YMR024W/YMR098C/YHR011W/YDR175C/YNL073W/YCR024C/YGR222W/YJR101W/YPL104W/YHL004W/YER050C/YIL051C/YDR405W/YMR282C/YBR251W/YML025C/YLR312W-A/YDL202W/YPL215W/YEL050C/YDR462W/YDL044C/YER153C/YGR076C/YHR038W/YBR282W/YOR158W/YDR268W/YKR085C/YLR069C/YOL093W/YPL040C/YJL096W/YDR350C/YMR158W/YBR185C/YMR257C,1740,
Yes,1,GO:0032543,mitochondrial translation,131,0.742384534,2.823802738,1.00E-10,1.00E-10,3.65E-08,782,"tags=60%, list=14%, signal=53%",YPL118W/YPR100W/YPL005W/YNR036C/YGL129C/YMR286W/YNL177C/YNR037C/YDR347W/YML129C/YOR150W/YLR204W/YKL170W/YPR166C/YPL183W-A/YPL013C/YDR237W/YDR296W/YHR147C/YNL081C/YNR045W/YHR091C/YDL045W-A/YGR102C/YDR337W/YNL185C/YPL097W/YDL069C/YJR113C/YKL138C/YLR139C/YGR220C/YJL063C/YOR187W/YNL284C/YOL033W/YMR188C/YGL068W/YBL038W/YKL003C/YJL062W-A/YMR024W/YHR011W/YDR175C/YNL073W/YCR024C/YGR222W/YJR101W/YPL104W/YHL004W/YER050C/YIL051C/YDR405W/YMR282C/YBR251W/YML025C/YLR312W-A/YDL202W/YPL215W/YEL050C/YDR462W/YDL044C/YER153C/YGR076C/YHR038W/YBR282W/YOR158W/YDR268W/YKR085C/YLR069C/YPL040C/YJL096W/YDR350C/YMR158W/YBR185C/YMR257C/YDR036C/YDR041W/YGL143C,1740,
No,,GO:0006412,translation,466,0.587477121,2.558725398,1.00E-10,1.00E-10,3.65E-08,942,"tags=43%, list=17%, signal=39%",YKL056C/YPL118W/YPR100W/YFR032C-A/YBL087C/YDL130W/YKR059W/YPL005W/YHR203C/YMR230W/YNR036C/YML063W/YDR500C/YGL129C/YMR286W/YNL177C/YNR037C/YDR385W/YDR347W/YML129C/YOR150W/YLR344W/YLR204W/YKL170W/YPR166C/YPL183W-A/YDL224C/YDR471W/YPL013C/YOR293W/YOL039W/YBR181C/YLR249W/YOR182C/YIL069C/YDR237W/YOR167C/YAL003W/YOR302W/YOR234C/YDR296W/YLL045C/YJR094W-A/YHR147C/YGR027C/YNL081C/YIL133C/YNR045W/YHR091C/YHL033C/YDL045W-A/YGR102C/YBR118W/YDR337W/YNL185C/YPL097W/YDL069C/YGL147C/YER131W/YLR048W/YJR097W/YJR113C/YKL138C/YLR139C/YOL121C/YDR447C/YLR388W/YGR220C/YMR116C/YPR080W/YJL063C/YLR264W/YMR143W/YJR145C/YNL302C/YBL027W/YKL156W/YPR043W/YGL123W/YDR025W/YDL136W/YKR057W/YDL191W/YER117W/YOR187W/YNL284C/YOL033W/YMR188C/YFR031C-A/YGL068W/YBL038W/YMR064W/YLR325C/YKL003C/YML014W/YJL062W-A/YMR024W/YGR118W/YCL037C/YHR168W/YHR011W/YDR175C/YNL073W/YCR024C/YGR222W/YJR101W/YPL104W/YOR091W/YDL082W/YHL004W/YER056C-A/YGR169C-A/YER007C-A/YER050C/YIL051C/YDR405W/YCR031C/YJL177W/YJL189W/YER074W/YDR012W/YMR282C/YBR251W/YML025C/YDL134C/YGL107C/YLR406C/YLR312W-A/YDL202W/YPL215W/YJL190C/YER087W/YEL050C/YLR448W/YDR462W/YDR152W/YDL044C/YNL096C/YLR143W/YOR051C/YER153C/YDL229W/YLR289W/YGR076C/YLR185W/YHR038W/YBR282W/YIL110W/YMR146C/YEL054C/YOR158W/YDR432W/YDR268W/YKR085C/YGR214W/YLR172C/YDR496C/YOR001W/YNL040W/YGR171C/YLR069C/YNL232W/YPL040C/YDR429C/YJL096W/YDR064W/YDR350C/YMR158W/YGR054W/YBR185C/YMR257C/YKL081W/YDR374C/YPL048W/YDR036C/YDR041W/YBR048W/YML026C/YAL005C/YGL143C/YNL197C/YOL045W/YHL001W/YLR367W/YER035W/YNL067W/YPL184C/YGL014W/YBR122C/YGR165W/YMR194W/YJL140W/YPR163C/YKR006C/YLR281C/YCR071C/YOR063W/YNL306W/YNL001W/YCR046C/YLR441C/YOL142W,1740,Revigo compressed
No,,GO:0043043,peptide biosynthetic process,470,0.585099547,2.547711752,1.00E-10,1.00E-10,3.65E-08,942,"tags=43%, list=17%, signal=39%",YKL056C/YPL118W/YPR100W/YFR032C-A/YBL087C/YDL130W/YKR059W/YPL005W/YHR203C/YMR230W/YNR036C/YML063W/YDR500C/YGL129C/YMR286W/YNL177C/YNR037C/YDR385W/YDR347W/YML129C/YOR150W/YLR344W/YLR204W/YKL170W/YPR166C/YPL183W-A/YDL224C/YDR471W/YPL013C/YOR293W/YOL039W/YBR181C/YLR249W/YOR182C/YIL069C/YDR237W/YOR167C/YAL003W/YOR302W/YOR234C/YDR296W/YLL045C/YJR094W-A/YHR147C/YGR027C/YNL081C/YIL133C/YNR045W/YHR091C/YHL033C/YDL045W-A/YGR102C/YBR118W/YDR337W/YNL185C/YPL097W/YDL069C/YGL147C/YER131W/YLR048W/YJR097W/YJR113C/YKL138C/YLR139C/YOL121C/YDR447C/YLR388W/YGR220C/YMR116C/YPR080W/YJL063C/YLR264W/YMR143W/YJR145C/YNL302C/YBL027W/YKL156W/YPR043W/YGL123W/YDR025W/YDL136W/YKR057W/YDL191W/YER117W/YOR187W/YNL284C/YOL033W/YMR188C/YFR031C-A/YGL068W/YBL038W/YMR064W/YLR325C/YKL003C/YML014W/YJL062W-A/YMR024W/YGR118W/YCL037C/YHR168W/YHR011W/YDR175C/YNL073W/YCR024C/YGR222W/YJR101W/YPL104W/YOR091W/YDL082W/YHL004W/YER056C-A/YGR169C-A/YER007C-A/YER050C/YIL051C/YDR405W/YCR031C/YJL177W/YJL189W/YER074W/YDR012W/YMR282C/YBR251W/YML025C/YDL134C/YGL107C/YLR406C/YLR312W-A/YDL202W/YPL215W/YJL190C/YER087W/YEL050C/YLR448W/YDR462W/YDR152W/YDL044C/YNL096C/YLR143W/YOR051C/YER153C/YDL229W/YLR289W/YGR076C/YLR185W/YHR038W/YBR282W/YIL110W/YMR146C/YEL054C/YOR158W/YDR432W/YDR268W/YKR085C/YGR214W/YLR172C/YDR496C/YOR001W/YNL040W/YGR171C/YLR069C/YNL232W/YPL040C/YDR429C/YJL096W/YDR064W/YDR350C/YMR158W/YGR054W/YBR185C/YMR257C/YKL081W/YDR374C/YPL048W/YDR036C/YDR041W/YBR048W/YML026C/YAL005C/YGL143C/YNL197C/YOL045W/YHL001W/YLR367W/YER035W/YNL067W/YPL184C/YGL014W/YBR122C/YGR165W/YMR194W/YJL140W/YPR163C/YKR006C/YLR281C/YCR071C/YOR063W/YNL306W/YNL001W/YCR046C/YLR441C/YOL142W,1740,Revigo compressed
No,,GO:0006518,peptide metabolic process,501,0.574658249,2.523810124,1.00E-10,1.00E-10,3.65E-08,942,"tags=41%, list=17%, signal=37%",YKL056C/YPL118W/YPR100W/YFR032C-A/YBL087C/YDL130W/YKR059W/YPL005W/YHR203C/YMR230W/YNR036C/YML063W/YDR500C/YGL129C/YMR286W/YNL177C/YNR037C/YDR385W/YDR347W/YML129C/YOR150W/YLR344W/YLR204W/YKL170W/YPR166C/YPL183W-A/YDL224C/YDR471W/YPL013C/YOR293W/YOL039W/YBR181C/YLR249W/YOR182C/YIL069C/YDR237W/YOR167C/YAL003W/YOR302W/YOR234C/YDR296W/YLL045C/YJR094W-A/YHR147C/YGR027C/YNL081C/YIL133C/YNR045W/YHR091C/YHL033C/YDL045W-A/YGR102C/YBR118W/YDR337W/YNL185C/YPL097W/YDL069C/YGL147C/YER131W/YLR048W/YJR097W/YJR113C/YKL138C/YLR139C/YOL121C/YDR447C/YLR066W/YLR388W/YGR220C/YMR116C/YPR080W/YJL063C/YLR264W/YMR143W/YJR145C/YNL302C/YBL027W/YKL156W/YPR043W/YGL123W/YDR025W/YDL136W/YKR057W/YDL191W/YER117W/YOR187W/YNL284C/YOL033W/YMR188C/YFR031C-A/YGL068W/YBL038W/YMR064W/YLR325C/YKL003C/YML014W/YJL062W-A/YMR024W/YGR118W/YCL037C/YHR168W/YHR011W/YDR175C/YNL073W/YCR024C/YGR222W/YJR101W/YPL104W/YOR091W/YDL082W/YHL004W/YER056C-A/YGR169C-A/YER007C-A/YER050C/YIL051C/YDR405W/YCR031C/YJL177W/YJL189W/YER074W/YDR012W/YMR282C/YBR251W/YML025C/YDL134C/YGL107C/YLR406C/YLR312W-A/YDL202W/YPL215W/YJL190C/YER087W/YEL050C/YLR448W/YDR462W/YDR152W/YDL044C/YNL096C/YLR143W/YOR051C/YER153C/YDL229W/YLR289W/YGR076C/YLR185W/YHR038W/YBR282W/YIL110W/YMR146C/YEL054C/YOR158W/YDR432W/YDR268W/YKR085C/YGR214W/YLR172C/YDR496C/YOR001W/YNL040W/YGR171C/YLR069C/YNL232W/YPL040C/YDR429C/YJL096W/YDR064W/YDR350C/YMR158W/YGR054W/YBR185C/YMR257C/YKL081W/YDR374C/YPL048W/YDR036C/YGR101W/YDR041W/YBR048W/YML026C/YAL005C/YGL143C/YNL197C/YOL045W/YLR389C/YHL001W/YLR367W/YER035W/YNL067W/YPL184C/YGL014W/YBR122C/YGR165W/YMR194W/YJL140W/YPR163C/YKR006C/YLR281C/YCR071C/YOR063W/YNL306W/YNL001W/YCR046C/YLR441C/YOL142W,1740,Revigo compressed
No,,GO:0043604,amide biosynthetic process,513,0.559644378,2.46394255,1.00E-10,1.00E-10,3.65E-08,942,"tags=41%, list=17%, signal=37%",YKL056C/YPL118W/YPR100W/YFR032C-A/YBL087C/YDL130W/YKR059W/YPL005W/YHR203C/YMR230W/YNR036C/YML063W/YDR500C/YGL129C/YMR286W/YNL177C/YNR037C/YDR385W/YDR347W/YML129C/YOR150W/YLR344W/YLR204W/YKL170W/YPR166C/YPL183W-A/YDL224C/YDR471W/YPL013C/YOR293W/YOL039W/YBR181C/YLR249W/YMR298W/YOR182C/YIL069C/YDR237W/YOR167C/YAL003W/YOR302W/YOR234C/YDR296W/YLL045C/YJR094W-A/YHR147C/YGR027C/YNL081C/YIL133C/YNR045W/YHR091C/YHL033C/YDL045W-A/YGR102C/YBR118W/YDR337W/YNL185C/YPL097W/YDL069C/YGL147C/YER131W/YLR048W/YJR097W/YJR113C/YKL138C/YLR139C/YOL121C/YDR447C/YLR388W/YGR220C/YMR116C/YPR080W/YJL063C/YLR264W/YMR143W/YJR145C/YNL302C/YBL027W/YKL156W/YPR043W/YGL123W/YDR025W/YDL136W/YKR057W/YDL191W/YER117W/YOR187W/YNL284C/YOL033W/YMR188C/YFR031C-A/YGL068W/YBL038W/YMR064W/YLR325C/YKL003C/YML014W/YJL062W-A/YMR024W/YGR118W/YCL037C/YHR168W/YHR011W/YDR175C/YNL073W/YCR024C/YGR222W/YJR101W/YPL104W/YOR091W/YDL082W/YHL004W/YER056C-A/YGR169C-A/YER007C-A/YER050C/YIL051C/YDR405W/YCR031C/YJL177W/YJL189W/YER074W/YDR012W/YMR282C/YBR251W/YML025C/YDL134C/YGL107C/YLR406C/YLR312W-A/YDL202W/YPL215W/YJL190C/YER087W/YEL050C/YLR448W/YDR462W/YDR152W/YDL044C/YNL096C/YLR143W/YOR051C/YER153C/YDL229W/YLR289W/YGR076C/YLR185W/YHR038W/YBR282W/YIL110W/YMR146C/YLR146C/YEL054C/YOR158W/YDR432W/YDR268W/YKR085C/YGR214W/YLR172C/YDR496C/YOR001W/YNL040W/YGR171C/YLR069C/YNL232W/YPL040C/YDR429C/YJL096W/YDR064W/YDR350C/YMR158W/YGR054W/YBR185C/YMR257C/YPL111W/YKL081W/YDR374C/YPL048W/YDR036C/YDR041W/YBR048W/YML026C/YAL005C/YGL143C/YNL197C/YOL045W/YGR038W/YHL001W/YLR367W/YER035W/YGR193C/YER019W/YNL067W/YPL184C/YGL014W/YBR122C/YGR165W/YMR194W/YJL140W/YPR163C/YKR006C/YLR281C/YCR071C/YOR063W/YNL306W/YNL001W/YCR046C/YLR441C/YOL142W,1740,Revigo compressed
Yes,5,GO:0043603,cellular amide metabolic process,574,0.541005341,2.402574665,1.00E-10,1.00E-10,3.65E-08,942,"tags=38%, list=17%, signal=35%",YKL056C/YPL118W/YPR100W/YFR032C-A/YBL087C/YDL130W/YKR059W/YPL005W/YHR203C/YMR230W/YNR036C/YML063W/YDR500C/YGL129C/YMR286W/YNL177C/YNR037C/YDR385W/YDR347W/YML129C/YOR150W/YLR344W/YLR204W/YKL170W/YPR166C/YPL183W-A/YDL224C/YDR471W/YPL013C/YOR293W/YOL039W/YBR181C/YLR249W/YMR298W/YOR182C/YIL069C/YDR237W/YOR167C/YAL003W/YOR302W/YOR234C/YDR296W/YLL045C/YJR094W-A/YHR147C/YGR027C/YNL081C/YIL133C/YNR045W/YHR091C/YHL033C/YDL045W-A/YGR102C/YBR118W/YDR337W/YNL185C/YPL097W/YDL069C/YGL147C/YER131W/YLR048W/YJR097W/YJR113C/YKL138C/YLR139C/YOL121C/YDR447C/YLR066W/YLR388W/YGR220C/YMR116C/YPR080W/YJL063C/YLR264W/YMR143W/YJR145C/YNL302C/YBL027W/YKL156W/YPR043W/YGL123W/YDR025W/YDL136W/YKR057W/YDL191W/YER117W/YOR187W/YNL284C/YOL033W/YMR188C/YFR031C-A/YGL068W/YBL038W/YMR064W/YLR325C/YKL003C/YML014W/YJL062W-A/YMR024W/YGR118W/YCL037C/YHR168W/YHR011W/YDR175C/YNL073W/YCR024C/YGR222W/YJR101W/YPL104W/YOR091W/YDL082W/YHL004W/YER056C-A/YGR169C-A/YER007C-A/YER050C/YIL051C/YDR405W/YCR031C/YJL177W/YJL189W/YER074W/YDR012W/YMR282C/YBR251W/YML025C/YDL134C/YGL107C/YLR406C/YLR312W-A/YDL202W/YPL215W/YJL190C/YER087W/YEL050C/YLR448W/YDR462W/YDR152W/YDL044C/YDR148C/YNL096C/YLR143W/YLR058C/YOR051C/YER153C/YDL229W/YLR289W/YGR076C/YLR185W/YHR038W/YBR282W/YIL110W/YMR146C/YLR146C/YEL054C/YOR158W/YDR432W/YDR268W/YKR085C/YGR214W/YLR172C/YDR496C/YOR001W/YNL040W/YGR171C/YLR069C/YNL232W/YDL124W/YPL040C/YDR429C/YJL096W/YDR064W/YDR350C/YMR158W/YGR054W/YBR185C/YMR257C/YPL111W/YKL081W/YDR374C/YPL048W/YDR036C/YGR101W/YDR041W/YBR048W/YML026C/YAL005C/YGL143C/YNL197C/YOL045W/YLR389C/YOR142W/YGR038W/YHL001W/YLR367W/YER035W/YGR193C/YER019W/YNL067W/YPL184C/YGL014W/YBR122C/YGR165W/YMR194W/YJL140W/YPR163C/YKR006C/YLR351C/YLR281C/YCR071C/YOR063W/YNL306W/YNL001W/YCR046C/YLR441C/YOL142W,1740,
No,,GO:0002181,cytoplasmic translation,164,0.606542672,2.375638643,1.00E-10,1.00E-10,3.65E-08,557,"tags=40%, list=10%, signal=37%",YKL056C/YFR032C-A/YBL087C/YDL130W/YKR059W/YHR203C/YMR230W/YML063W/YDR500C/YLR344W/YDR471W/YOR293W/YOL039W/YBR181C/YOR182C/YIL069C/YOR167C/YOR234C/YLL045C/YJR094W-A/YGR027C/YIL133C/YHL033C/YGL147C/YER131W/YLR048W/YJR097W/YOL121C/YDR447C/YLR388W/YLR264W/YMR143W/YJR145C/YNL302C/YBL027W/YKL156W/YPR043W/YDR025W/YDL136W/YKR057W/YDL191W/YER117W/YFR031C-A/YLR325C/YHR168W/YOR091W/YDL082W/YER056C-A/YGR169C-A/YER007C-A/YCR031C/YJL177W/YJL189W/YER074W/YDR012W/YLR406C/YJL190C/YLR448W/YDR152W/YNL096C/YLR143W/YDL229W/YLR185W/YMR146C/YEL054C/YGR214W,1740,Revigo compressed
